Date,Site,Family,with/without macrophyte,no. of ind,pH,water temp(°C),CO(ms/ cm),DO(mg/ L)
4/22/2018,pond 3,Coenagrionidae,1,9,7.23,23.13,4.28,3.7
4/22/2018,pond 3,Chironomidae,1,15,7.23,23.13,4.28,3.7
4/22/2018,pond 4,Chironomidae,0,13,7.06,23.63,4.58,2.2
4/22/2018,pond 4,Baetidae,1,1,7.24,23.97,4.71,2.53
4/22/2018,pond 4,Coenagrionidae,1,9,7.24,23.97,4.71,2.53
4/22/2018,pond 4,Chironomidae,1,15,7.24,23.97,4.71,2.53
5/6/2018,pond 2,Coenagrionidae,0,4,7.72,27.37,3.72,4.33
5/6/2018,pond 2,Libellulidae,0,1,7.72,27.37,3.72,4.33
5/6/2018,pond 2,Chironomidae,0,11,7.72,27.37,3.72,4.33
5/6/2018,pond 2,Baetidae,1,1,7.28,27.23,3.45,6.2
5/6/2018,pond 2,Coenagrionidae,1,32,7.28,27.23,3.45,6.2
5/6/2018,pond 2,Chironomidae,1,2,7.28,27.23,3.45,6.2
5/6/2018,pond 3,Coenagrionidae,0,2,8.45,32.63,4.04,6.43
5/6/2018,pond 3,Chironomidae,0,79,8.45,32.63,4.04,6.43
5/6/2018,pond 3,Baetidae,1,1,7.59,26.6,4.18,2.73
5/6/2018,pond 3,Coenagrionidae,1,34,7.59,26.6,4.18,2.73
5/6/2018,pond 3,Corixidae,1,1,7.59,26.6,4.18,2.73
5/6/2018,pond 3,Chironomidae,1,6,7.59,26.6,4.18,2.73
5/6/2018,pond 4,Culicidae,0,1,7.23,23.97,4.32,0.7
5/6/2018,pond 4,Chironomidae,0,3,7.23,23.97,4.32,0.7
5/6/2018,pond 4,Baetidae,1,6,7.28,24.17,4.18,1.37
5/6/2018,pond 4,Coenagrionidae,1,23,7.28,24.17,4.18,1.37
5/6/2018,pond 4,Corixidae,1,2,7.28,24.17,4.18,1.37
5/6/2018,pond 4,Chironomidae,1,2,7.28,24.17,4.18,1.37
5/6/2018,pond 4,Stratiomyidae,1,3,7.28,24.17,4.18,1.37
5/20/2018,pond 2,Chironomidae,0,3,7.94,30.47,3.95,7.6
5/20/2018,pond 2,Coenagrionidae,1,8,7.73,31.9,3.68,5.33
5/20/2018,pond 3,Chironomidae,0,1,7.24,29.43,3.7,3.87
5/20/2018,pond 3,Stratiomyidae,0,1,7.24,29.43,3.7,3.87
5/20/2018,pond 3,Baetidae,1,6,7.36,29.3,3.64,1.17
5/20/2018,pond 3,Coenagrionidae,1,9,7.36,29.3,3.64,1.17
5/20/2018,pond 3,Hydrometridae,1,1,7.36,29.3,3.64,1.17
5/20/2018,pond 4,Coenagrionidae,0,5,7.07,27.57,3.47,0.9
5/20/2018,pond 4,Chironomidae,0,2,7.07,27.57,3.47,0.9
5/20/2018,pond 4,Baetidae,1,1,7.19,27.6,3.2,1
5/20/2018,pond 4,Coenagrionidae,1,16,7.19,27.6,3.2,1
5/20/2018,pond 4,Corixidae,1,1,7.19,27.6,3.2,1
5/20/2018,pond 4,Hydrometridae,1,1,7.19,27.6,3.2,1
5/20/2018,pond 4,Chironomidae,1,6,7.19,27.6,3.2,1
5/20/2018,pond 4,Stratiomyidae,1,1,7.19,27.6,3.2,1
6/10/2018,pond 3,Chironomidae,0,6,8.67,33.2,4.44,11.6
6/10/2018,pond 3,Coenagrionidae,1,1,7.63,28.43,4.37,4.97
6/10/2018,pond 3,Chironomidae,1,3,7.63,28.43,4.37,4.97
6/10/2018,pond 3,Stratiomyidae,1,1,7.63,28.43,4.37,4.97
6/10/2018,pond 4,Coenagrionidae,1,3,7.41,27.67,3.94,3.5
6/10/2018,pond 4,Culicidae,1,1,7.41,27.67,3.94,3.5
6/10/2018,pond 4,Chironomidae,1,1,7.41,27.67,3.94,3.5
6/24/2018,pond 2,Chironomidae,0,7,7.72,29.8,3.88,8
6/24/2018,pond 2,Coenagrionidae,1,3,7.18,29.73,3.85,4
6/24/2018,pond 3,Chironomidae,0,6,7.85,30.03,3.78,6.63
6/24/2018,pond 3,Baetidae,1,1,7.19,28.03,3.65,2.7
6/24/2018,pond 3,Chironomidae,1,3,7.19,28.03,3.65,2.7
6/24/2018,pond 4,Culicidae,0,1,7.13,26.67,3.59,1.5
6/24/2018,pond 4,Chironomidae,0,1,7.13,26.67,3.59,1.5
6/24/2018,pond 4,Coenagrionidae,1,3,7.23,27.1,4.1,0.67
6/24/2018,pond 4,Chironomidae,1,2,7.23,27.1,4.1,0.67
7/8/2018,pond 2,Chironomidae,0,5,8.01,29.67,3.68,6.23
7/8/2018,pond 2,Coenagrionidae,1,2,7.06,29.07,3.37,3.6
7/8/2018,pond 2,Libellulidae,1,1,7.06,29.07,3.37,3.6
7/8/2018,pond 3,Chironomidae,0,6,7.41,28.37,3.95,4.73
7/8/2018,pond 3,Chironomidae,1,2,7.25,27,4.06,1.73
7/8/2018,pond 4,Chironomidae,0,5,7.51,26.4,3.76,4.33
7/8/2018,pond 4,Coenagrionidae,1,4,7.22,26.3,3.91,0.77
7/8/2018,pond 4,Culicidae,1,1,7.22,26.3,3.91,0.77
7/8/2018,pond 4,Chironomidae,1,3,7.22,26.3,3.91,0.77
7/29/2018,pond 2,Chironomidae,0,6,7.82,31.5,3.78,4.37
7/29/2018,pond 2,Coenagrionidae,1,1,7.39,30.4,4.01,1.1
7/29/2018,pond 2,Libellulidae,1,1,7.39,30.4,4.01,1.1
7/29/2018,pond 3,Chironomidae,0,1,7.54,28.93,3.42,2.07
7/29/2018,pond 4,Chironomidae,0,30,7.31,28.2,3.38,1.03
7/29/2018,pond 4,Coenagrionidae,1,2,7.26,28.13,3.13,1.4
7/29/2018,pond 4,Chironomidae,1,1,7.26,28.13,3.13,1.4
8/12/2018,pond 2,Chironomidae,0,4,8.46,29.87,4.71,2.57
8/12/2018,pond 2,Coenagrionidae,1,2,7.29,30.1,4.08,0.37
8/12/2018,pond 2,Libellulidae,1,1,7.29,30.1,4.08,0.37
8/12/2018,pond 3,Chironomidae,0,5,8.02,27.73,4.73,6.27
8/12/2018,pond 3,Chironomidae,1,3,7.83,28.1,5.02,1.23
8/12/2018,pond 4,Chironomidae,0,7,8.03,27.43,4.82,3.6
8/12/2018,pond 4,Baetidae,1,1,7.49,27.87,4.91,1.13
8/12/2018,pond 4,Coenagrionidae,1,2,7.49,27.87,4.91,1.13
8/12/2018,pond 4,Chironomidae,1,5,7.49,27.87,4.91,1.13
9/2/2018,pond 2,Chironomidae,0,4,7.34,29.47,2.39,3.7
9/2/2018,pond 2,Baetidae,1,2,7.04,28.33,2.32,1.97
9/2/2018,pond 2,Coenagrionidae,1,1,7.04,28.33,2.32,1.97
9/2/2018,pond 2,Libellulidae,1,1,7.04,28.33,2.32,1.97
9/2/2018,pond 2,Chironomidae,1,1,7.04,28.33,2.32,1.97
9/2/2018,pond 3,Chironomidae,0,2,7.42,27.9,2.48,2.17
9/2/2018,pond 3,Coenagrionidae,1,2,7.09,26.07,2.3,1.37
9/2/2018,pond 3,Chironomidae,1,12,7.09,26.07,2.3,1.37
9/2/2018,pond 4,Chironomidae,0,14,7.75,26.97,2.29,3.57
9/2/2018,pond 4,Baetidae,1,2,6.99,25.97,2.33,1.2
9/2/2018,pond 4,Coenagrionidae,1,1,6.99,25.97,2.33,1.2
9/2/2018,pond 4,Chironomidae,1,12,6.99,25.97,2.33,1.2
9/16/2018,pond 2,Chironomidae,0,1,7.48,26.87,3.48,2.97
9/16/2018,pond 2,Libellulidae,1,1,7.15,26.87,3.47,0.87
9/16/2018,pond 2,Chironomidae,1,5,7.15,26.87,3.47,0.87
9/16/2018,pond 3,Chironomidae,0,3,7.32,26.57,2.72,3.17
9/16/2018,pond 3,Coenagrionidae,1,1,7.1,26.67,2.72,1.23
9/16/2018,pond 4,Chironomidae,0,2,7.23,26.1,2.62,3.37
9/16/2018,pond 4,Baetidae,1,5,6.8,26.27,2.39,3.3
9/16/2018,pond 4,Coenagrionidae,1,4,6.8,26.27,2.39,3.3
9/16/2018,pond 4,Chironomidae,1,30,6.8,26.27,2.39,3.3
9/30/2018,pond 2,Chironomidae,0,8,8.22,25,2.48,5.63
9/30/2018,pond 3,Chironomidae,0,5,7.53,25,2.48,5.8
9/30/2018,pond 4,Chironomidae,0,1,7.47,22.83,2.37,4.47
9/30/2018,pond 2,Baetidae,1,1,7.11,25.47,2.12,2.3
9/30/2018,pond 4,Baetidae,1,1,7.12,22.47,2.18,1.9
9/30/2018,pond 2,Chironomidae,1,5,7.11,25.47,2.12,2.3
9/30/2018,pond 2,Coenagrionidae,1,1,7.11,25.47,2.12,2.3
9/30/2018,pond 3,Chironomidae,1,6,7.18,21.97,2.35,2.17
9/30/2018,pond 4,Chironomidae,1,15,7.12,22.47,2.18,1.9
9/30/2018,pond 4,Culicidae,1,1,7.12,22.47,2.18,1.9
9/30/2018,pond 4,Coenagrionidae,1,11,7.12,22.47,2.18,1.9
